Connecting to host 172.31.33.192, port 5000
[  4] local 172.31.40.156 port 42014 connected to 172.31.33.192 port 5000
[ ID] Interval           Transfer     Bandwidth       Total Datagrams
[  4]   0.00-1.00   sec  47.1 KBytes   386 Kbits/sec  48227  
[  4]   1.00-2.00   sec  47.2 KBytes   387 Kbits/sec  48347  
[  4]   2.00-3.00   sec  47.3 KBytes   388 Kbits/sec  48454  
[  4]   3.00-4.00   sec  47.3 KBytes   387 Kbits/sec  48408  
[  4]   4.00-5.00   sec  47.3 KBytes   388 Kbits/sec  48486  
[  4]   5.00-6.00   sec  47.0 KBytes   385 Kbits/sec  48138  
[  4]   6.00-7.00   sec  46.7 KBytes   383 Kbits/sec  47849  
[  4]   7.00-8.00   sec  46.8 KBytes   383 Kbits/sec  47887  
[  4]   8.00-9.00   sec  46.8 KBytes   383 Kbits/sec  47924  
[  4]   9.00-10.00  sec  46.8 KBytes   383 Kbits/sec  47891  
[  4]  10.00-11.00  sec  46.7 KBytes   382 Kbits/sec  47775  
[  4]  11.00-12.00  sec  46.7 KBytes   383 Kbits/sec  47814  
[  4]  12.00-13.00  sec  46.9 KBytes   384 Kbits/sec  48040  
[  4]  13.00-14.00  sec  46.9 KBytes   385 Kbits/sec  48068  
[  4]  14.00-15.00  sec  46.9 KBytes   384 Kbits/sec  48021  
[  4]  15.00-16.00  sec  46.9 KBytes   384 Kbits/sec  48019  
[  4]  16.00-17.00  sec  47.0 KBytes   385 Kbits/sec  48113  
[  4]  17.00-18.00  sec  46.9 KBytes   384 Kbits/sec  48007  
[  4]  18.00-19.00  sec  46.7 KBytes   382 Kbits/sec  47787  
[  4]  19.00-20.00  sec  46.5 KBytes   381 Kbits/sec  47663  
[  4]  20.00-21.00  sec  46.4 KBytes   380 Kbits/sec  47543  
[  4]  21.00-22.00  sec  46.2 KBytes   378 Kbits/sec  47266  
[  4]  22.00-23.00  sec  46.1 KBytes   378 Kbits/sec  47212  
[  4]  23.00-24.00  sec  46.6 KBytes   382 Kbits/sec  47731  
[  4]  24.00-25.00  sec  46.8 KBytes   383 Kbits/sec  47927  
[  4]  25.00-26.00  sec  46.8 KBytes   384 Kbits/sec  47952  
[  4]  26.00-27.00  sec  46.8 KBytes   383 Kbits/sec  47912  
[  4]  27.00-28.00  sec  46.8 KBytes   384 Kbits/sec  47973  
[  4]  28.00-29.00  sec  46.8 KBytes   384 Kbits/sec  47955  
[  4]  29.00-30.00  sec  46.8 KBytes   384 Kbits/sec  47939  
[  4]  30.00-31.00  sec  46.5 KBytes   381 Kbits/sec  47627  
[  4]  31.00-32.00  sec  46.8 KBytes   383 Kbits/sec  47908  
[  4]  32.00-33.00  sec  46.8 KBytes   384 Kbits/sec  47941  
[  4]  33.00-34.00  sec  46.9 KBytes   384 Kbits/sec  47981  
[  4]  34.00-35.00  sec  46.8 KBytes   383 Kbits/sec  47906  
[  4]  35.00-36.00  sec  46.7 KBytes   382 Kbits/sec  47794  
[  4]  36.00-37.00  sec  46.6 KBytes   382 Kbits/sec  47712  
[  4]  37.00-38.00  sec  46.2 KBytes   378 Kbits/sec  47266  
[  4]  38.00-39.00  sec  45.9 KBytes   376 Kbits/sec  46986  
[  4]  39.00-40.00  sec  46.5 KBytes   381 Kbits/sec  47577  
[  4]  40.00-41.00  sec  46.5 KBytes   381 Kbits/sec  47653  
[  4]  41.00-42.00  sec  46.8 KBytes   384 Kbits/sec  47957  
[  4]  42.00-43.00  sec  46.6 KBytes   382 Kbits/sec  47732  
[  4]  43.00-44.00  sec  46.6 KBytes   381 Kbits/sec  47672  
[  4]  44.00-45.00  sec  46.6 KBytes   382 Kbits/sec  47690  
[  4]  45.00-46.00  sec  46.6 KBytes   382 Kbits/sec  47699  
[  4]  46.00-47.00  sec  46.5 KBytes   381 Kbits/sec  47651  
[  4]  47.00-48.00  sec  46.7 KBytes   383 Kbits/sec  47817  
[  4]  48.00-49.00  sec  46.9 KBytes   384 Kbits/sec  48030  
[  4]  49.00-50.00  sec  46.9 KBytes   384 Kbits/sec  48058  
[  4]  50.00-51.00  sec  46.8 KBytes   384 Kbits/sec  47960  
[  4]  51.00-52.00  sec  47.0 KBytes   385 Kbits/sec  48083  
[  4]  52.00-53.00  sec  46.9 KBytes   384 Kbits/sec  48053  
[  4]  53.00-54.00  sec  46.9 KBytes   384 Kbits/sec  48053  
[  4]  54.00-55.00  sec  46.9 KBytes   384 Kbits/sec  48021  
[  4]  55.00-56.00  sec  47.0 KBytes   385 Kbits/sec  48099  
[  4]  56.00-57.00  sec  46.9 KBytes   384 Kbits/sec  48004  
[  4]  57.00-58.00  sec  46.9 KBytes   384 Kbits/sec  48018  
[  4]  58.00-59.00  sec  46.9 KBytes   384 Kbits/sec  48037  
[  4]  59.00-60.00  sec  46.7 KBytes   383 Kbits/sec  47860  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Jitter    Lost/Total Datagrams
[  4]   0.00-60.00  sec  2.74 MBytes   383 Kbits/sec  0.068 ms  0/0 (0%)  
[  4] Sent 0 datagrams

iperf Done.
