Connecting to host 172.31.33.192, port 5000
[  4] local 172.31.40.156 port 56308 connected to 172.31.33.192 port 5000
[ ID] Interval           Transfer     Bandwidth       Total Datagrams
[  4]   0.00-1.00   sec  46.0 KBytes   377 Kbits/sec  47129  
[  4]   1.00-2.00   sec  46.1 KBytes   378 Kbits/sec  47254  
[  4]   2.00-3.00   sec  46.1 KBytes   378 Kbits/sec  47237  
[  4]   3.00-4.00   sec  46.2 KBytes   378 Kbits/sec  47297  
[  4]   4.00-5.00   sec  46.2 KBytes   378 Kbits/sec  47286  
[  4]   5.00-6.00   sec  46.3 KBytes   379 Kbits/sec  47390  
[  4]   6.00-7.00   sec  46.2 KBytes   378 Kbits/sec  47294  
[  4]   7.00-8.00   sec  46.3 KBytes   379 Kbits/sec  47415  
[  4]   8.00-9.00   sec  46.3 KBytes   379 Kbits/sec  47384  
[  4]   9.00-10.00  sec  46.4 KBytes   380 Kbits/sec  47518  
[  4]  10.00-11.00  sec  46.2 KBytes   379 Kbits/sec  47331  
[  4]  11.00-12.00  sec  46.2 KBytes   378 Kbits/sec  47280  
[  4]  12.00-13.00  sec  46.1 KBytes   378 Kbits/sec  47255  
[  4]  13.00-14.00  sec  46.2 KBytes   378 Kbits/sec  47306  
[  4]  14.00-15.00  sec  46.2 KBytes   379 Kbits/sec  47325  
[  4]  15.00-16.00  sec  46.3 KBytes   379 Kbits/sec  47386  
[  4]  16.00-17.00  sec  46.3 KBytes   379 Kbits/sec  47362  
[  4]  17.00-18.00  sec  46.2 KBytes   378 Kbits/sec  47310  
[  4]  18.00-19.00  sec  46.3 KBytes   379 Kbits/sec  47426  
[  4]  19.00-20.00  sec  46.3 KBytes   379 Kbits/sec  47392  
[  4]  20.00-21.00  sec  46.3 KBytes   379 Kbits/sec  47405  
[  4]  21.00-22.00  sec  46.3 KBytes   379 Kbits/sec  47434  
[  4]  22.00-23.00  sec  46.3 KBytes   379 Kbits/sec  47402  
[  4]  23.00-24.00  sec  46.3 KBytes   379 Kbits/sec  47375  
[  4]  24.00-25.00  sec  46.2 KBytes   379 Kbits/sec  47344  
[  4]  25.00-26.00  sec  46.3 KBytes   380 Kbits/sec  47442  
[  4]  26.00-27.00  sec  46.3 KBytes   379 Kbits/sec  47411  
[  4]  27.00-28.00  sec  46.3 KBytes   379 Kbits/sec  47435  
[  4]  28.00-29.00  sec  46.3 KBytes   379 Kbits/sec  47375  
[  4]  29.00-30.00  sec  46.3 KBytes   379 Kbits/sec  47365  
[  4]  30.00-31.00  sec  46.3 KBytes   379 Kbits/sec  47416  
[  4]  31.00-32.00  sec  46.1 KBytes   378 Kbits/sec  47237  
[  4]  32.00-33.00  sec  46.1 KBytes   378 Kbits/sec  47254  
[  4]  33.00-34.00  sec  46.3 KBytes   379 Kbits/sec  47370  
[  4]  34.00-35.00  sec  46.2 KBytes   378 Kbits/sec  47307  
[  4]  35.00-36.00  sec  46.2 KBytes   378 Kbits/sec  47282  
[  4]  36.00-37.00  sec  46.3 KBytes   379 Kbits/sec  47428  
[  4]  37.00-38.00  sec  46.3 KBytes   379 Kbits/sec  47437  
[  4]  38.00-39.00  sec  46.2 KBytes   378 Kbits/sec  47296  
[  4]  39.00-40.00  sec  46.3 KBytes   379 Kbits/sec  47382  
[  4]  40.00-41.00  sec  46.4 KBytes   380 Kbits/sec  47542  
[  4]  41.00-42.00  sec  46.4 KBytes   380 Kbits/sec  47487  
[  4]  42.00-43.00  sec  46.2 KBytes   378 Kbits/sec  47297  
[  4]  43.00-44.00  sec  46.3 KBytes   380 Kbits/sec  47439  
[  4]  44.00-45.00  sec  46.4 KBytes   380 Kbits/sec  47487  
[  4]  45.00-46.00  sec  46.3 KBytes   379 Kbits/sec  47387  
[  4]  46.00-47.00  sec  46.3 KBytes   380 Kbits/sec  47461  
[  4]  47.00-48.00  sec  46.4 KBytes   380 Kbits/sec  47517  
[  4]  48.00-49.00  sec  46.4 KBytes   380 Kbits/sec  47511  
[  4]  49.00-50.00  sec  46.4 KBytes   380 Kbits/sec  47543  
[  4]  50.00-51.00  sec  46.3 KBytes   380 Kbits/sec  47454  
[  4]  51.00-52.00  sec  46.5 KBytes   381 Kbits/sec  47566  
[  4]  52.00-53.00  sec  46.4 KBytes   380 Kbits/sec  47554  
[  4]  53.00-54.00  sec  46.3 KBytes   379 Kbits/sec  47430  
[  4]  54.00-55.00  sec  46.3 KBytes   379 Kbits/sec  47429  
[  4]  55.00-56.00  sec  46.3 KBytes   379 Kbits/sec  47425  
[  4]  56.00-57.00  sec  46.3 KBytes   379 Kbits/sec  47423  
[  4]  57.00-58.00  sec  46.4 KBytes   380 Kbits/sec  47465  
[  4]  58.00-59.00  sec  46.3 KBytes   379 Kbits/sec  47435  
[  4]  59.00-60.00  sec  46.2 KBytes   378 Kbits/sec  47298  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Jitter    Lost/Total Datagrams
[  4]   0.00-60.00  sec  2.71 MBytes   379 Kbits/sec  0.081 ms  0/0 (0%)  
[  4] Sent 0 datagrams

iperf Done.
