Connecting to host 172.31.33.192, port 5004
[  4] local 172.31.34.174 port 33288 connected to 172.31.33.192 port 5004
[ ID] Interval           Transfer     Bandwidth       Total Datagrams
[  4]   0.00-1.00   sec  43.3 KBytes   355 Kbits/sec  44359  
[  4]   1.00-2.00   sec  43.1 KBytes   353 Kbits/sec  44177  
[  4]   2.00-3.00   sec  43.0 KBytes   352 Kbits/sec  44043  
[  4]   3.00-4.00   sec  42.3 KBytes   346 Kbits/sec  43285  
[  4]   4.00-5.00   sec  40.0 KBytes   328 Kbits/sec  41005  
[  4]   5.00-6.00   sec  41.5 KBytes   340 Kbits/sec  42509  
[  4]   6.00-7.00   sec  42.2 KBytes   346 Kbits/sec  43218  
[  4]   7.00-8.00   sec  42.4 KBytes   347 Kbits/sec  43420  
[  4]   8.00-9.00   sec  42.4 KBytes   347 Kbits/sec  43385  
[  4]   9.00-10.00  sec  42.4 KBytes   347 Kbits/sec  43407  
[  4]  10.00-11.00  sec  42.4 KBytes   347 Kbits/sec  43376  
[  4]  11.00-12.00  sec  42.5 KBytes   348 Kbits/sec  43496  
[  4]  12.00-13.00  sec  42.4 KBytes   347 Kbits/sec  43430  
[  4]  13.00-14.00  sec  42.4 KBytes   348 Kbits/sec  43458  
[  4]  14.00-15.00  sec  42.4 KBytes   348 Kbits/sec  43438  
[  4]  15.00-16.00  sec  42.5 KBytes   348 Kbits/sec  43494  
[  4]  16.00-17.00  sec  42.4 KBytes   347 Kbits/sec  43434  
[  4]  17.00-18.00  sec  42.4 KBytes   348 Kbits/sec  43443  
[  4]  18.00-19.00  sec  42.4 KBytes   347 Kbits/sec  43385  
[  4]  19.00-20.00  sec  42.4 KBytes   347 Kbits/sec  43429  
[  4]  20.00-21.00  sec  42.4 KBytes   347 Kbits/sec  43412  
[  4]  21.00-22.00  sec  42.4 KBytes   347 Kbits/sec  43429  
[  4]  22.00-23.00  sec  42.4 KBytes   347 Kbits/sec  43385  
[  4]  23.00-24.00  sec  42.4 KBytes   348 Kbits/sec  43456  
[  4]  24.00-25.00  sec  42.4 KBytes   347 Kbits/sec  43411  
[  4]  25.00-26.00  sec  42.4 KBytes   347 Kbits/sec  43409  
[  4]  26.00-27.00  sec  42.4 KBytes   348 Kbits/sec  43467  
[  4]  27.00-28.00  sec  42.4 KBytes   347 Kbits/sec  43393  
[  4]  28.00-29.00  sec  42.4 KBytes   348 Kbits/sec  43462  
[  4]  29.00-30.00  sec  42.4 KBytes   347 Kbits/sec  43418  
[  4]  30.00-31.00  sec  42.4 KBytes   348 Kbits/sec  43451  
[  4]  31.00-32.00  sec  42.4 KBytes   347 Kbits/sec  43376  
[  4]  32.00-33.00  sec  42.4 KBytes   348 Kbits/sec  43465  
[  4]  33.00-34.00  sec  42.4 KBytes   347 Kbits/sec  43386  
[  4]  34.00-35.00  sec  42.4 KBytes   347 Kbits/sec  43399  
[  4]  35.00-36.00  sec  42.4 KBytes   347 Kbits/sec  43417  
[  4]  36.00-37.00  sec  42.4 KBytes   347 Kbits/sec  43421  
[  4]  37.00-38.00  sec  42.4 KBytes   347 Kbits/sec  43369  
[  4]  38.00-39.00  sec  42.4 KBytes   347 Kbits/sec  43419  
[  4]  39.00-40.00  sec  42.4 KBytes   347 Kbits/sec  43407  
[  4]  40.00-41.00  sec  42.4 KBytes   348 Kbits/sec  43467  
[  4]  41.00-42.00  sec  42.4 KBytes   347 Kbits/sec  43394  
[  4]  42.00-43.00  sec  42.4 KBytes   347 Kbits/sec  43384  
[  4]  43.00-44.00  sec  42.5 KBytes   348 Kbits/sec  43518  
[  4]  44.00-45.00  sec  42.4 KBytes   347 Kbits/sec  43432  
[  4]  45.00-46.00  sec  42.2 KBytes   346 Kbits/sec  43224  
[  4]  46.00-47.00  sec  42.1 KBytes   345 Kbits/sec  43125  
[  4]  47.00-48.00  sec  42.2 KBytes   345 Kbits/sec  43163  
[  4]  48.00-49.00  sec  42.0 KBytes   344 Kbits/sec  42966  
[  4]  49.00-50.00  sec  42.1 KBytes   345 Kbits/sec  43093  
[  4]  50.00-51.00  sec  42.1 KBytes   345 Kbits/sec  43089  
[  4]  51.00-52.00  sec  42.1 KBytes   345 Kbits/sec  43073  
[  4]  52.00-53.00  sec  42.2 KBytes   346 Kbits/sec  43263  
[  4]  53.00-54.00  sec  48.0 KBytes   393 Kbits/sec  49130  
[  4]  54.00-55.00  sec   104 KBytes   849 Kbits/sec  106095  
[  4]  55.00-56.00  sec  85.3 KBytes   699 Kbits/sec  87357  
[  4]  56.00-57.00  sec  42.4 KBytes   347 Kbits/sec  43386  
[  4]  57.00-58.00  sec  42.6 KBytes   349 Kbits/sec  43605  
[  4]  58.00-59.00  sec  46.4 KBytes   380 Kbits/sec  47555  
[  4]  59.00-60.00  sec  43.5 KBytes   357 Kbits/sec  44575  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Jitter    Lost/Total Datagrams
[  4]   0.00-60.00  sec  2.59 MBytes   363 Kbits/sec  0.095 ms  0/0 (0%)  
[  4] Sent 0 datagrams

iperf Done.
