Connecting to host 172.31.33.192, port 5013
[  4] local 172.31.32.121 port 42615 connected to 172.31.33.192 port 5013
[ ID] Interval           Transfer     Bandwidth       Total Datagrams
[  4]   0.00-1.00   sec   123 KBytes  1.01 Mbits/sec  125636  
[  4]   1.00-2.00   sec   105 KBytes   863 Kbits/sec  107816  
[  4]   2.00-3.00   sec  43.4 KBytes   356 Kbits/sec  44460  
[  4]   3.00-4.00   sec  43.1 KBytes   353 Kbits/sec  44088  
[  4]   4.00-5.00   sec  42.9 KBytes   351 Kbits/sec  43912  
[  4]   5.00-6.00   sec  43.4 KBytes   356 Kbits/sec  44470  
[  4]   6.00-7.00   sec  43.4 KBytes   355 Kbits/sec  44408  
[  4]   7.00-8.00   sec  43.3 KBytes   355 Kbits/sec  44385  
[  4]   8.00-9.00   sec  43.4 KBytes   355 Kbits/sec  44401  
[  4]   9.00-10.00  sec  43.4 KBytes   355 Kbits/sec  44412  
[  4]  10.00-11.00  sec  43.5 KBytes   356 Kbits/sec  44513  
[  4]  11.00-12.00  sec  43.3 KBytes   355 Kbits/sec  44369  
[  4]  12.00-13.00  sec  43.4 KBytes   355 Kbits/sec  44428  
[  4]  13.00-14.00  sec  43.4 KBytes   355 Kbits/sec  44397  
[  4]  14.00-15.00  sec  43.2 KBytes   354 Kbits/sec  44225  
[  4]  15.00-16.00  sec  42.9 KBytes   352 Kbits/sec  43977  
[  4]  16.00-17.00  sec  43.0 KBytes   352 Kbits/sec  44033  
[  4]  17.00-18.00  sec  42.9 KBytes   351 Kbits/sec  43910  
[  4]  18.00-19.00  sec  42.9 KBytes   352 Kbits/sec  43976  
[  4]  19.00-20.00  sec  43.1 KBytes   353 Kbits/sec  44157  
[  4]  20.00-21.00  sec  43.3 KBytes   354 Kbits/sec  44304  
[  4]  21.00-22.00  sec  43.2 KBytes   354 Kbits/sec  44206  
[  4]  22.00-23.00  sec  43.2 KBytes   354 Kbits/sec  44233  
[  4]  23.00-24.00  sec  43.4 KBytes   355 Kbits/sec  44405  
[  4]  24.00-25.00  sec  43.3 KBytes   355 Kbits/sec  44319  
[  4]  25.00-26.00  sec  43.2 KBytes   354 Kbits/sec  44285  
[  4]  26.00-27.00  sec  43.2 KBytes   354 Kbits/sec  44276  
[  4]  27.00-28.00  sec  42.6 KBytes   349 Kbits/sec  43584  
[  4]  28.00-29.00  sec  42.2 KBytes   346 Kbits/sec  43228  
[  4]  29.00-30.00  sec  42.5 KBytes   348 Kbits/sec  43557  
[  4]  30.00-31.00  sec  42.5 KBytes   348 Kbits/sec  43520  
[  4]  31.00-32.00  sec  42.5 KBytes   348 Kbits/sec  43529  
[  4]  32.00-33.00  sec  42.8 KBytes   351 Kbits/sec  43832  
[  4]  33.00-34.00  sec  43.0 KBytes   352 Kbits/sec  44001  
[  4]  34.00-35.00  sec  43.0 KBytes   352 Kbits/sec  44009  
[  4]  35.00-36.00  sec  42.7 KBytes   350 Kbits/sec  43756  
[  4]  36.00-37.00  sec  42.7 KBytes   349 Kbits/sec  43679  
[  4]  37.00-38.00  sec  42.7 KBytes   350 Kbits/sec  43743  
[  4]  38.00-39.00  sec  42.6 KBytes   349 Kbits/sec  43652  
[  4]  39.00-40.00  sec  42.6 KBytes   349 Kbits/sec  43637  
[  4]  40.00-41.00  sec  42.6 KBytes   349 Kbits/sec  43646  
[  4]  41.00-42.00  sec  42.6 KBytes   349 Kbits/sec  43630  
[  4]  42.00-43.00  sec  42.7 KBytes   349 Kbits/sec  43682  
[  4]  43.00-44.00  sec  42.9 KBytes   351 Kbits/sec  43891  
[  4]  44.00-45.00  sec  42.8 KBytes   350 Kbits/sec  43804  
[  4]  45.00-46.00  sec  42.8 KBytes   351 Kbits/sec  43851  
[  4]  46.00-47.00  sec  42.7 KBytes   350 Kbits/sec  43769  
[  4]  47.00-48.00  sec  42.8 KBytes   351 Kbits/sec  43861  
[  4]  48.00-49.00  sec  43.0 KBytes   352 Kbits/sec  44029  
[  4]  49.00-50.00  sec  43.0 KBytes   352 Kbits/sec  43992  
[  4]  50.00-51.00  sec  43.0 KBytes   352 Kbits/sec  44040  
[  4]  51.00-52.00  sec  42.9 KBytes   351 Kbits/sec  43921  
[  4]  52.00-53.00  sec  43.0 KBytes   352 Kbits/sec  43999  
[  4]  53.00-54.00  sec  43.2 KBytes   354 Kbits/sec  44246  
[  4]  54.00-55.00  sec  43.8 KBytes   359 Kbits/sec  44884  
[  4]  55.00-56.00  sec  44.5 KBytes   365 Kbits/sec  45566  
[  4]  56.00-57.00  sec  45.1 KBytes   370 Kbits/sec  46233  
[  4]  57.00-58.00  sec  45.2 KBytes   370 Kbits/sec  46264  
[  4]  58.00-59.00  sec  44.9 KBytes   368 Kbits/sec  45969  
[  4]  59.00-60.00  sec  44.9 KBytes   367 Kbits/sec  45932  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Jitter    Lost/Total Datagrams
[  4]   0.00-60.00  sec  2.67 MBytes   373 Kbits/sec  0.096 ms  0/0 (0%)  
[  4] Sent 0 datagrams

iperf Done.
