Linux 4.15.0-1051-aws (ip-172-31-42-64) 	11/10/19 	_x86_64_	(2 CPU)

00:00:01        CPU     %user     %nice   %system   %iowait    %steal     %idle
00:05:01          0      0.01      0.00      0.21      0.01      0.13     99.64
00:05:01          1      0.02      0.00      0.24      0.00      0.36     99.38
00:15:01          0      0.02      0.00      0.25      0.01      0.13     99.60
00:15:01          1      0.01      0.00      0.27      0.00      0.36     99.36
00:25:01          0      0.02      0.00      0.28      0.00      0.13     99.58
00:25:01          1      0.01      0.00      0.23      0.00      0.36     99.40
00:35:01          0      0.01      0.00      0.25      0.00      0.13     99.61
00:35:01          1      0.02      0.00      0.25      0.00      0.36     99.37
00:45:01          0      0.01      0.00      0.25      0.00      0.13     99.61
00:45:01          1      0.01      0.00      0.25      0.00      0.36     99.37
00:55:01          0      0.07      0.00      0.27      0.01      0.13     99.53
00:55:01          1      0.06      0.00      0.26      0.00      0.36     99.32
01:05:01          0      0.02      0.00      0.24      0.01      0.13     99.61
01:05:01          1      0.02      0.00      0.29      0.00      0.36     99.33
01:15:01          0      0.05      0.00      0.22      0.01      0.10     99.63
01:15:01          1      0.04      0.00      0.25      0.00      0.29     99.42
01:25:01          0      1.92      0.00      3.20      0.01      0.03     94.85
01:25:01          1      2.29      0.00      2.88      0.00      0.02     94.80
01:35:01          0     11.88      0.00     18.16      0.00      0.00     69.96
01:35:01          1     12.20      0.00     17.83      0.00      0.00     69.97
01:45:01          0      1.87      0.00      3.18      0.00      0.00     94.95
01:45:01          1      1.92      0.00      3.16      0.00      0.00     94.92
01:55:01          0      0.05      0.00      0.07      0.00      0.04     99.83
01:55:01          1      0.02      0.00      0.04      0.00      0.09     99.85
Average:          0      1.41      0.00      2.34      0.00      0.09     96.16
Average:          1      1.50      0.00      2.32      0.00      0.23     95.95
